Frequency,# of Items,%
793,12,0.0000040
794,13,0.0000043
795,16,0.0000053
796,15,0.0000050
797,12,0.0000040
798,14,0.0000047
799,17,0.0000056
800,15,0.0000050
801,17,0.0000056
802,19,0.0000063
803,19,0.0000063
804,12,0.0000040
805,15,0.0000050
806,11,0.0000037
807,24,0.0000080
808,13,0.0000043
809,7,0.0000023
810,14,0.0000047
811,16,0.0000053
812,7,0.0000023
813,14,0.0000047
814,13,0.0000043
815,9,0.0000030
816,14,0.0000047
817,7,0.0000023
818,17,0.0000056
819,11,0.0000037
820,8,0.0000027
821,15,0.0000050
822,17,0.0000056
823,13,0.0000043
824,12,0.0000040
825,4,0.0000013
826,15,0.0000050
827,9,0.0000030
828,13,0.0000043
829,14,0.0000047
830,18,0.0000060
831,9,0.0000030
832,13,0.0000043
833,14,0.0000047
834,11,0.0000037
835,12,0.0000040
836,6,0.0000020
837,14,0.0000047
838,12,0.0000040
839,6,0.0000020
840,14,0.0000047
841,11,0.0000037
842,14,0.0000047
843,9,0.0000030
844,13,0.0000043
845,10,0.0000033
846,12,0.0000040
847,12,0.0000040
848,14,0.0000047
849,6,0.0000020
850,12,0.0000040
851,7,0.0000023
852,8,0.0000027
853,17,0.0000056
854,5,0.0000017
855,10,0.0000033
856,8,0.0000027
857,9,0.0000030
858,14,0.0000047
859,22,0.0000073
860,14,0.0000047
861,14,0.0000047
862,9,0.0000030
863,7,0.0000023
864,10,0.0000033
865,4,0.0000013
866,14,0.0000047
867,19,0.0000063
868,7,0.0000023
869,14,0.0000047
870,7,0.0000023
871,7,0.0000023
872,8,0.0000027
873,11,0.0000037
874,9,0.0000030
875,6,0.0000020
876,13,0.0000043
877,12,0.0000040
878,13,0.0000043
879,11,0.0000037
880,13,0.0000043
881,14,0.0000047
882,11,0.0000037
883,13,0.0000043
884,14,0.0000047
885,11,0.0000037
886,13,0.0000043
887,13,0.0000043
888,7,0.0000023
889,5,0.0000017
890,10,0.0000033
891,11,0.0000037
892,9,0.0000030
893,10,0.0000033
894,12,0.0000040
895,14,0.0000047
896,9,0.0000030
897,14,0.0000047
898,13,0.0000043
899,17,0.0000056
900,13,0.0000043
901,6,0.0000020
902,7,0.0000023
903,5,0.0000017
904,13,0.0000043
905,9,0.0000030
906,5,0.0000017
907,7,0.0000023
908,11,0.0000037
909,10,0.0000033
910,7,0.0000023
911,11,0.0000037
912,15,0.0000050
913,10,0.0000033
914,4,0.0000013
915,13,0.0000043
916,12,0.0000040
917,11,0.0000037
918,6,0.0000020
919,13,0.0000043
920,13,0.0000043
921,8,0.0000027
922,7,0.0000023
923,16,0.0000053
924,7,0.0000023
925,14,0.0000047
926,8,0.0000027
927,8,0.0000027
928,11,0.0000037
929,14,0.0000047
930,7,0.0000023
931,5,0.0000017
932,5,0.0000017
933,7,0.0000023
934,13,0.0000043
935,5,0.0000017
936,13,0.0000043
937,17,0.0000056
938,13,0.0000043
939,5,0.0000017
940,5,0.0000017
941,13,0.0000043
942,16,0.0000053
943,7,0.0000023
944,4,0.0000013
945,12,0.0000040
946,11,0.0000037
947,12,0.0000040
948,6,0.0000020
949,12,0.0000040
950,10,0.0000033
951,12,0.0000040
952,7,0.0000023
953,10,0.0000033
954,8,0.0000027
955,11,0.0000037
956,8,0.0000027
957,8,0.0000027
958,10,0.0000033
959,8,0.0000027
960,10,0.0000033
961,8,0.0000027
962,14,0.0000047
963,10,0.0000033
964,8,0.0000027
965,7,0.0000023
966,8,0.0000027
967,12,0.0000040
968,6,0.0000020
969,7,0.0000023
970,9,0.0000030
971,5,0.0000017
972,6,0.0000020
973,5,0.0000017
974,5,0.0000017
975,4,0.0000013
976,11,0.0000037
977,6,0.0000020
978,5,0.0000017
979,10,0.0000033
980,7,0.0000023
981,11,0.0000037
982,10,0.0000033
983,11,0.0000037
984,7,0.0000023
985,4,0.0000013
986,4,0.0000013
987,8,0.0000027
988,10,0.0000033
989,5,0.0000017
990,6,0.0000020
991,6,0.0000020
992,12,0.0000040
993,7,0.0000023
994,8,0.0000027
995,11,0.0000037
996,12,0.0000040
997,10,0.0000033
998,8,0.0000027
999,8,0.0000027
1000,13,0.0000043
1001,6,0.0000020
1002,14,0.0000047
1003,11,0.0000037
1004,7,0.0000023
1005,7,0.0000023
1006,8,0.0000027
1007,5,0.0000017
1008,6,0.0000020
1009,9,0.0000030
1010,10,0.0000033
1011,13,0.0000043
1012,12,0.0000040
1013,9,0.0000030
1014,5,0.0000017
1015,2,0.0000007
1016,13,0.0000043
1017,11,0.0000037
1018,7,0.0000023
1019,6,0.0000020
1020,6,0.0000020
1021,6,0.0000020
1022,10,0.0000033
1023,6,0.0000020
1024,7,0.0000023
1025,6,0.0000020
1026,8,0.0000027
1027,10,0.0000033
1028,5,0.0000017
1029,10,0.0000033
1030,7,0.0000023
1031,6,0.0000020
1032,9,0.0000030
1033,7,0.0000023
